"Sample.Point.Code","Date","Hour","Type","Subgroup","Parameter","Species","Operator","Value","Unit","Additional.information","Situation","Level","Depth"
"L-A10","22/05/2024","11:36","LITORALES","Fitoplancton","Clorofila A","-","=",0.29,"µg/l",NA,"L","S",0
"L-A10","22/05/2024","11:36","LITORALES","Fitoplancton","Clorofila A","-","=",0.76,"µg/l",NA,"L","F",-25
"L-A10","06/02/2024","9:38","LITORALES","Fitoplancton","Clorofila A","-","=",1.49,"µg/l",NA,"L","S",0
"L-A10","06/02/2024","9:38","LITORALES","Fitoplancton","Clorofila A","-","=",0.74,"µg/l",NA,"L","F",-25
"L-B10","29/05/2024","10:21","LITORALES","Fitoplancton","Clorofila A","-","=",0.57,"µg/l",NA,"L","S",0
"L-B10","29/05/2024","10:21","LITORALES","Fitoplancton","Clorofila A","-","=",0.79,"µg/l",NA,"L","F",-25
"L-B10","05/02/2024","11:44","LITORALES","Fitoplancton","Clorofila A","-","=",0.17,"µg/l",NA,"L","S",0
"L-B10","05/02/2024","11:44","LITORALES","Fitoplancton","Clorofila A","-","=",0.34,"µg/l",NA,"L","F",-25
"L-B20","29/05/2024","11:09","LITORALES","Fitoplancton","Clorofila A","-","=",0.37,"µg/l",NA,"L","S",0
"L-B20","29/05/2024","11:09","LITORALES","Fitoplancton","Clorofila A","-","=",1.1,"µg/l",NA,"L","F",-25
"L-B20","05/02/2024","10:45","LITORALES","Fitoplancton","Clorofila A","-","=",0.68,"µg/l",NA,"L","S",0
"L-B20","05/02/2024","10:45","LITORALES","Fitoplancton","Clorofila A","-","=",0.3,"µg/l",NA,"L","F",-25
"L-BI10","14/02/2024","9:45","LITORALES","Fitoplancton","Clorofila A","-","=",0.39,"µg/l",NA,"L","S",0
"L-BI10","14/02/2024","9:45","LITORALES","Fitoplancton","Clorofila A","-","=",0.58,"µg/l",NA,"L","F",-25
"L-BI10","08/05/2024","9:02","LITORALES","Fitoplancton","Clorofila A","-","=",0.6,"µg/l",NA,"L","S",0
"L-BI10","08/05/2024","9:02","LITORALES","Fitoplancton","Clorofila A","-","=",0.82,"µg/l",NA,"L","F",-25
"L-D10","22/05/2024","11:46","LITORALES","Fitoplancton","Clorofila A","-","=",0.36,"µg/l",NA,"L","S",0
"L-D10","22/05/2024","11:46","LITORALES","Fitoplancton","Clorofila A","-","=",0.69,"µg/l",NA,"L","F",-25
"L-D10","06/02/2024","9:22","LITORALES","Fitoplancton","Clorofila A","-","=",1.58,"µg/l",NA,"L","S",0
"L-D10","06/02/2024","9:22","LITORALES","Fitoplancton","Clorofila A","-","=",1.06,"µg/l",NA,"L","F",-25
"L-L10","22/05/2024","11:01","LITORALES","Fitoplancton","Clorofila A","-","=",0.21,"µg/l",NA,"L","S",0
"L-L10","22/05/2024","11:01","LITORALES","Fitoplancton","Clorofila A","-","=",0.63,"µg/l",NA,"L","F",-25
"L-L10","06/02/2024","10:10","LITORALES","Fitoplancton","Clorofila A","-","=",1.96,"µg/l",NA,"L","F",-25
"L-L10","06/02/2024","10:10","LITORALES","Fitoplancton","Clorofila A","-","=",0.97,"µg/l",NA,"L","S",0
"L-L20","22/05/2024","11:20","LITORALES","Fitoplancton","Clorofila A","-","=",0.21,"µg/l",NA,"L","S",0
"L-L20","22/05/2024","11:20","LITORALES","Fitoplancton","Clorofila A","-","=",0.84,"µg/l",NA,"L","F",-25
"L-L20","06/02/2024","9:51","LITORALES","Fitoplancton","Clorofila A","-","=",1.58,"µg/l",NA,"L","S",0
"L-L20","06/02/2024","9:51","LITORALES","Fitoplancton","Clorofila A","-","=",0.78,"µg/l",NA,"L","F",-25
"L-N10","29/01/2024","10:30","LITORALES","Fitoplancton","Clorofila A","-","=",0.45,"µg/l",NA,"L","S",0
"L-N10","29/01/2024","10:30","LITORALES","Fitoplancton","Clorofila A","-","=",0.43,"µg/l",NA,"L","F",-25
"L-N10","15/05/2024","11:21","LITORALES","Fitoplancton","Clorofila A","-","=",0.62,"µg/l",NA,"L","S",0
"L-N10","15/05/2024","11:21","LITORALES","Fitoplancton","Clorofila A","-","=",0.68,"µg/l",NA,"L","F",-25
"L-N20","29/05/2024","10:30","LITORALES","Fitoplancton","Clorofila A","-","=",0.62,"µg/l",NA,"L","S",0
"L-N20","29/05/2024","10:30","LITORALES","Fitoplancton","Clorofila A","-","=",0.87,"µg/l",NA,"L","F",-25
"L-N20","29/01/2024","10:40","LITORALES","Fitoplancton","Clorofila A","-","=",0.46,"µg/l",NA,"L","S",0
"L-N20","29/01/2024","10:40","LITORALES","Fitoplancton","Clorofila A","-","=",0.34,"µg/l",NA,"L","F",-25
"L-O10","22/05/2024","12:22","LITORALES","Fitoplancton","Clorofila A","-","=",0.28,"µg/l",NA,"L","S",0
"L-O10","22/05/2024","12:22","LITORALES","Fitoplancton","Clorofila A","-","=",0.59,"µg/l",NA,"L","F",-25
"L-O10","06/02/2024","8:43","LITORALES","Fitoplancton","Clorofila A","-","=",0.96,"µg/l",NA,"L","S",0
"L-O10","06/02/2024","8:43","LITORALES","Fitoplancton","Clorofila A","-","=",0.95,"µg/l",NA,"L","F",-25
"L-O20","22/05/2024","12:12","LITORALES","Fitoplancton","Clorofila A","-","=",0.27,"µg/l",NA,"L","S",0
"L-O20","22/05/2024","12:12","LITORALES","Fitoplancton","Clorofila A","-","=",0.65,"µg/l",NA,"L","F",-25
"L-O20","06/02/2024","8:55","LITORALES","Fitoplancton","Clorofila A","-","=",1.56,"µg/l",NA,"L","S",0
"L-O20","06/02/2024","8:55","LITORALES","Fitoplancton","Clorofila A","-","=",1.71,"µg/l",NA,"L","F",-25
"L-OI10","14/02/2024","9:04","LITORALES","Fitoplancton","Clorofila A","-","=",0.6,"µg/l",NA,"L","S",0
"L-OI10","14/02/2024","9:04","LITORALES","Fitoplancton","Clorofila A","-","=",0.57,"µg/l",NA,"L","F",-25
"L-OI10","08/05/2024","8:18","LITORALES","Fitoplancton","Clorofila A","-","=",0.58,"µg/l",NA,"L","S",0
"L-OI10","08/05/2024","8:18","LITORALES","Fitoplancton","Clorofila A","-","=",0.52,"µg/l",NA,"L","F",-25
"L-OI20","14/02/2024","9:13","LITORALES","Fitoplancton","Clorofila A","-","=",0.45,"µg/l",NA,"L","S",0
"L-OI20","14/02/2024","9:13","LITORALES","Fitoplancton","Clorofila A","-","=",0.49,"µg/l",NA,"L","F",-25
"L-OI20","08/05/2024","8:27","LITORALES","Fitoplancton","Clorofila A","-","=",0.68,"µg/l",NA,"L","S",0
"L-OI20","08/05/2024","8:27","LITORALES","Fitoplancton","Clorofila A","-","=",0.48,"µg/l",NA,"L","F",-25
"L-OK10","22/05/2024","10:41","LITORALES","Fitoplancton","Clorofila A","-","=",0.27,"µg/l",NA,"L","S",0
"L-OK10","22/05/2024","10:41","LITORALES","Fitoplancton","Clorofila A","-","=",0.85,"µg/l",NA,"L","F",-25
"L-OK10","06/02/2024","10:28","LITORALES","Fitoplancton","Clorofila A","-","=",1.82,"µg/l",NA,"L","S",0
"L-OK10","06/02/2024","10:28","LITORALES","Fitoplancton","Clorofila A","-","=",1.59,"µg/l",NA,"L","F",-25
"L-U10","22/05/2024","11:59","LITORALES","Fitoplancton","Clorofila A","-","=",0.77,"µg/l",NA,"L","S",0
"L-U10","22/05/2024","11:59","LITORALES","Fitoplancton","Clorofila A","-","=",0.6,"µg/l",NA,"L","F",-25
"L-U10","06/02/2024","9:07","LITORALES","Fitoplancton","Clorofila A","-","=",1.11,"µg/l",NA,"L","S",0
"L-U10","06/02/2024","9:07","LITORALES","Fitoplancton","Clorofila A","-","=",0.54,"µg/l",NA,"L","F",-25
"L-UR20","14/02/2024","8:54","LITORALES","Fitoplancton","Clorofila A","-","=",0.78,"µg/l",NA,"L","F",-25
"L-UR20","14/02/2024","8:54","LITORALES","Fitoplancton","Clorofila A","-","=",0.49,"µg/l",NA,"L","S",0
"L-UR20","08/05/2024","9:53","LITORALES","Fitoplancton","Clorofila A","-","=",0.28,"µg/l",NA,"L","S",0
"L-UR20","08/05/2024","9:53","LITORALES","Fitoplancton","Clorofila A","-","=",0.53,"µg/l",NA,"L","F",-25
"L-UR20","08/04/2024","9:33","LITORALES","Fitoplancton","Clorofila A","-","=",0.36,"µg/l",NA,"L","S",0
"L-UR20","08/04/2024","9:33","LITORALES","Fitoplancton","Clorofila A","-","=",0.8,"µg/l",NA,"L","F",-25
"L-UR20","08/01/2024","9:18","LITORALES","Fitoplancton","Clorofila A","-","=",0.49,"µg/l",NA,"L","F",-37
"L-UR20","08/01/2024","9:18","LITORALES","Fitoplancton","Clorofila A","-","=",0.46,"µg/l",NA,"L","S",0
"L-UR20","07/06/2024","7:41","LITORALES","Fitoplancton","Clorofila A","-","=",1.44,"µg/l",NA,"L","S",0
"L-UR20","07/06/2024","7:41","LITORALES","Fitoplancton","Clorofila A","-","=",0.97,"µg/l",NA,"L","F",-25
